device;ano-mes;sensor;valor_maximo;valor_medio;valor_minimo
sirrosteste_UCS_AMV-02;2023-12;temperatura;48.80;23.50;0.00
sirrosteste_UCS_AMV-02;2023-12;umidade;96.80;71.88;0.00
sirrosteste_UCS_AMV-02;2023-12;luminosidade;27306.20;7685.96;-1.00
sirrosteste_UCS_AMV-02;2023-12;ruido;120.00;97.14;0.00
sirrosteste_UCS_AMV-02;2023-12;eco2;2111.00;46.72;0.00
sirrosteste_UCS_AMV-02;2023-12;etvoc;2651.00;659.30;400.00
sirrosteste_UCS_AMV-02;2023-11;temperatura;47.10;21.71;0.00
sirrosteste_UCS_AMV-02;2023-11;umidade;97.30;70.62;0.00
sirrosteste_UCS_AMV-02;2023-11;luminosidade;27306.20;5168.61;-1.00
sirrosteste_UCS_AMV-02;2023-11;ruido;120.00;98.41;0.00
sirrosteste_UCS_AMV-02;2023-11;eco2;12024.00;74.41;0.00
sirrosteste_UCS_AMV-02;2023-11;etvoc;7294.00;688.78;400.00
sirrosteste_UCS_AMV-02;2023-10;temperatura;32.40;23.11;0.00
sirrosteste_UCS_AMV-02;2023-10;umidade;85.10;50.41;0.00
sirrosteste_UCS_AMV-02;2023-10;luminosidade;1330.50;131.16;0.00
sirrosteste_UCS_AMV-02;2023-10;ruido;120.00;68.04;0.00
sirrosteste_UCS_AMV-02;2023-10;eco2;5071.00;12.56;0.00
sirrosteste_UCS_AMV-02;2023-10;etvoc;4037.00;476.28;383.00
sirrosteste_UCS_AMV-02;2023-05;temperatura;27.70;25.53;21.00
sirrosteste_UCS_AMV-02;2023-05;umidade;69.80;55.86;45.40
sirrosteste_UCS_AMV-02;2023-05;luminosidade;419.20;22.51;0.00
sirrosteste_UCS_AMV-02;2023-05;ruido;105.60;76.55;0.00
sirrosteste_UCS_AMV-02;2023-05;eco2;655.00;71.23;0.00
sirrosteste_UCS_AMV-02;2023-05;etvoc;1945.00;804.41;400.00
sirrosteste_UCS_AMV-02;2023-04;temperatura;29.10;26.55;-12.80
sirrosteste_UCS_AMV-02;2023-04;umidade;67.60;47.71;31.40
sirrosteste_UCS_AMV-02;2023-04;luminosidade;777.50;19.77;0.00
sirrosteste_UCS_AMV-02;2023-04;ruido;120.00;61.26;0.00
sirrosteste_UCS_AMV-02;2023-04;eco2;183.00;25.06;0.00
sirrosteste_UCS_AMV-02;2023-04;etvoc;1517.00;566.31;0.00
sirrosteste_UCS_AMV-02;2023-02;temperatura;40.80;27.91;-40.00
sirrosteste_UCS_AMV-02;2023-02;umidade;62.20;42.27;0.00
sirrosteste_UCS_AMV-02;2023-02;luminosidade;54612.50;3241.28;0.00
sirrosteste_UCS_AMV-02;2023-02;ruido;108.90;74.90;0.00
sirrosteste_UCS_AMV-02;2023-02;eco2;1005.00;37.78;0.00
sirrosteste_UCS_AMV-02;2023-02;etvoc;2138.00;598.87;0.00
sirrosteste_UCS_AMV-02;2023-01;temperatura;36.10;28.84;0.00
sirrosteste_UCS_AMV-02;2023-01;umidade;100.00;42.91;0.00
sirrosteste_UCS_AMV-02;2023-01;luminosidade;54612.50;1824.85;0.00
sirrosteste_UCS_AMV-02;2023-01;ruido;112.10;74.96;0.00
sirrosteste_UCS_AMV-02;2023-01;eco2;73.00;13.16;0.00
sirrosteste_UCS_AMV-02;2023-01;etvoc;882.00;462.33;0.00
