device;ano-mes;sensor;valor_maximo;valor_medio;valor_minimo
sirrosteste_UCS_AMV-01;2024-03;temperatura;44.70;24.65;0.00
sirrosteste_UCS_AMV-01;2024-03;umidade;97.60;73.67;0.00
sirrosteste_UCS_AMV-01;2024-03;luminosidade;27306.20;4579.50;0.00
sirrosteste_UCS_AMV-01;2024-03;ruido;120.00;102.23;0.00
sirrosteste_UCS_AMV-01;2024-03;eco2;170.00;1.51;0.00
sirrosteste_UCS_AMV-01;2024-03;etvoc;1481.00;410.56;400.00
sirrosteste_UCS_AMV-01;2024-02;temperatura;48.20;24.00;0.00
sirrosteste_UCS_AMV-01;2024-02;umidade;97.10;70.78;0.00
sirrosteste_UCS_AMV-01;2024-02;luminosidade;27306.20;4940.84;-1.00
sirrosteste_UCS_AMV-01;2024-02;ruido;120.00;101.21;0.00
sirrosteste_UCS_AMV-01;2024-02;eco2;1711.00;1.81;0.00
sirrosteste_UCS_AMV-01;2024-02;etvoc;2467.00;406.83;400.00
sirrosteste_UCS_AMV-01;2024-01;temperatura;42.80;20.57;0.00
sirrosteste_UCS_AMV-01;2024-01;umidade;99.00;76.42;0.00
sirrosteste_UCS_AMV-01;2024-01;luminosidade;27306.20;4235.96;-1.00
sirrosteste_UCS_AMV-01;2024-01;ruido;120.00;99.06;0.00
sirrosteste_UCS_AMV-01;2024-01;eco2;148.00;0.29;0.00
sirrosteste_UCS_AMV-01;2024-01;etvoc;1184.00;401.60;400.00
sirrosteste_UCS_AMV-01;2023-12;temperatura;44.80;23.25;0.00
sirrosteste_UCS_AMV-01;2023-12;umidade;98.80;71.78;0.00
sirrosteste_UCS_AMV-01;2023-12;luminosidade;27306.20;8573.35;-1.00
sirrosteste_UCS_AMV-01;2023-12;ruido;120.00;98.03;0.00
sirrosteste_UCS_AMV-01;2023-12;eco2;2879.00;28.90;0.00
sirrosteste_UCS_AMV-01;2023-12;etvoc;3012.00;539.75;400.00
sirrosteste_UCS_AMV-01;2023-11;temperatura;43.30;21.17;0.00
sirrosteste_UCS_AMV-01;2023-11;umidade;97.60;71.29;0.00
sirrosteste_UCS_AMV-01;2023-11;luminosidade;27306.20;6548.32;-1.00
sirrosteste_UCS_AMV-01;2023-11;ruido;120.00;98.01;0.00
sirrosteste_UCS_AMV-01;2023-11;eco2;15820.00;118.64;0.00
sirrosteste_UCS_AMV-01;2023-11;etvoc;9069.00;807.16;400.00
sirrosteste_UCS_AMV-01;2023-10;temperatura;34.50;23.61;0.00
